,id,title
262,tt0340377,The Station Agent
263,tt0198781,"Monsters, Inc."
264,tt1029234,Martyrs
265,tt0070735,The Sting
266,tt0058385,My Fair Lady
267,tt0159097,The Virgin Suicides
268,tt0203009,Moulin Rouge!
269,tt0092991,Evil Dead II
270,tt1164999,Biutiful
271,tt2294629,Frozen
272,tt0185014,Wonder Boys
273,tt0113627,Leaving Las Vegas
274,tt0290673,Irreversible
275,tt0443272,Lincoln
276,tt1790885,Zero Dark Thirty
277,tt0096754,The Abyss
278,tt0285742,Monster's Ball
279,tt0119008,Donnie Brasco
280,tt0396171,Perfume: The Story of a Murderer
281,tt1189073,The Skin I Live In
282,tt1392214,Prisoners
283,tt0450259,Blood Diamond
284,tt0108399,True Romance
285,tt0171804,Boys Don't Cry
286,tt0084707,Sophie's Choice
287,tt0358273,Walk the Line
288,tt0361862,The Machinist
289,tt1038043,Mammoth
290,tt0074285,Carrie
291,tt0212720,A.I. Artificial Intelligence
292,tt0482088,Priceless
293,tt1707386,Les Misérables
294,tt1230414,It's Complicated
295,tt0241303,Chocolat
296,tt0399146,A History of Violence
297,tt0166924,Mulholland Drive
298,tt0081398,Raging Bull
299,tt0109506,The Crow
300,tt0112579,The Bridges of Madison County
301,tt0246578,Donnie Darko
302,tt0124315,The Cider House Rules
303,tt0054331,Spartacus
304,tt0093409,Lethal Weapon
305,tt0079501,Mad Max
306,tt0080455,The Blues Brothers
307,tt0168629,Dancer in the Dark
308,tt0139654,Training Day
309,tt0047437,Sabrina
310,tt0039302,Dark Passage
311,tt0074860,Marathon Man
312,tt0247425,In the Bedroom
313,tt0427944,Thank You for Smoking
314,tt0093870,RoboCop
315,tt0278504,Insomnia
316,tt0371746,Iron Man
317,tt0162661,Sleepy Hollow
318,tt0365748,Shaun of the Dead
319,tt0065088,"They Shoot Horses, Don't They?"
320,tt0070290,The Last Detail
321,tt0338751,The Aviator
322,tt1542344,127 Hours
323,tt0276919,Dogville
324,tt0077402,Dawn of the Dead
325,tt0464141,The Orphanage
326,tt0375679,Crash
327,tt0074119,All the President's Men
328,tt0283509,No Man's Land
329,tt0050105,An Affair to Remember
330,tt0120780,Out of Sight
331,tt0185125,All About My Mother
332,tt0289992,The Life of David Gale
333,tt1588170,I Saw the Devil
334,tt0318462,The Motorcycle Diaries
335,tt1276104,Looper
336,tt0046816,The Caine Mutiny
337,tt0449467,Babel
338,tt0113189,GoldenEye
339,tt0120660,Enemy of the State
340,tt0372183,The Bourne Supremacy
341,tt0448134,Sunshine
342,tt0383574,Pirates of the Caribbean: Dead Man's Chest
343,tt0061578,The Dirty Dozen
344,tt0117665,Sleepers
345,tt0126029,Shrek
346,tt0099487,Edward Scissorhands
347,tt0056869,The Birds
348,tt0087332,Ghostbusters
349,tt0095631,Midnight Run
350,tt0093105,"Good Morning, Vietnam"
351,tt0416320,Match Point
352,tt0344510,A Very Long Engagement
353,tt0268380,Ice Age
354,tt1305806,The Secret in Their Eyes
355,tt0172493,"Girl, Interrupted"
356,tt1454468,Gravity
357,tt0120338,Titanic
358,tt0064276,Easy Rider
359,tt0333766,Garden State
360,tt0096256,They Live
361,tt0120669,Fear and Loathing in Las Vegas
362,tt0083907,The Evil Dead
363,tt1877832,X-Men: Days of Future Past
364,tt1675434,The Intouchables
365,tt0097162,Dead Calm
366,tt0090329,Witness
367,tt0067023,Duel
368,tt0111257,Speed
369,tt0096969,Born on the Fourth of July
370,tt0106856,Falling Down
371,tt0299658,Chicago
372,tt0472399,The Mechanic
373,tt0443543,The Illusionist
374,tt0109707,Ed Wood
375,tt0119174,The Game
376,tt0186151,Frequency
377,tt0217869,Unbreakable
378,tt0765429,American Gangster
379,tt0055018,The Innocents
380,tt0412019,Broken Flowers
381,tt0362225,Tell No One
382,tt1323594,Despicable Me
383,tt0887912,The Hurt Locker
384,tt0265666,The Royal Tenenbaums
385,tt0080339,Airplane!
386,tt0107614,Mrs. Doubtfire
387,tt0084805,Tootsie
388,tt0237572,The Pledge
389,tt2172935,Metallica Through the Never
390,tt2243389,I'm So Excited!
391,tt0421994,Imagine Me & You
392,tt0072271,The Texas Chain Saw Massacre
393,tt0399201,The Island
394,tt1924429,Trance
395,tt0780504,Drive
396,tt0144084,American Psycho
